section,force,force_slug,month,field,category,count,percent,note
records,Metropolitan Police Service,metropolitan,all,records,total,540963,100.0,
records_by_month,Metropolitan Police Service,metropolitan,2025-11,records,month,94209,17.415,
records_by_month,Metropolitan Police Service,metropolitan,2025-12,records,month,90961,16.815,
records_by_month,Metropolitan Police Service,metropolitan,2026-01,records,month,86692,16.025,
records_by_month,Metropolitan Police Service,metropolitan,2026-02,records,month,84636,15.645,
records_by_month,Metropolitan Police Service,metropolitan,2026-03,records,month,92801,17.155,
records_by_month,Metropolitan Police Service,metropolitan,2026-04,records,month,91664,16.945,
missing_values,Metropolitan Police Service,metropolitan,all,crime_id,missing,105626,19.526,
missing_values,Metropolitan Police Service,metropolitan,all,crime_type,missing,0,0.0,
missing_values,Metropolitan Police Service,metropolitan,all,outcome_category,missing,105626,19.526,
missing_values,Metropolitan Police Service,metropolitan,all,lsoa_code,missing,0,0.0,
missing_values,Metropolitan Police Service,metropolitan,all,lsoa_name,missing,0,0.0,
missing_values,Metropolitan Police Service,metropolitan,all,month,missing,0,0.0,
unique_counts,Metropolitan Police Service,metropolitan,all,crime_type,unique_crime_types,14,,
unique_counts,Metropolitan Police Service,metropolitan,all,outcome_category,unique_outcomes,13,,
unique_counts,Metropolitan Police Service,metropolitan,all,lsoa_code,unique_lsoas,7115,,
records,West Midlands Police,west-midlands,all,records,total,152098,100.0,
records_by_month,West Midlands Police,west-midlands,2025-11,records,month,25815,16.973,
records_by_month,West Midlands Police,west-midlands,2025-12,records,month,24353,16.011,
records_by_month,West Midlands Police,west-midlands,2026-01,records,month,24341,16.003,
records_by_month,West Midlands Police,west-midlands,2026-02,records,month,23783,15.637,
records_by_month,West Midlands Police,west-midlands,2026-03,records,month,27190,17.877,
records_by_month,West Midlands Police,west-midlands,2026-04,records,month,26616,17.499,
missing_values,West Midlands Police,west-midlands,all,crime_id,missing,4982,3.276,
missing_values,West Midlands Police,west-midlands,all,crime_type,missing,0,0.0,
missing_values,West Midlands Police,west-midlands,all,outcome_category,missing,4982,3.276,
missing_values,West Midlands Police,west-midlands,all,lsoa_code,missing,0,0.0,
missing_values,West Midlands Police,west-midlands,all,lsoa_name,missing,0,0.0,
missing_values,West Midlands Police,west-midlands,all,month,missing,0,0.0,
unique_counts,West Midlands Police,west-midlands,all,crime_type,unique_crime_types,14,,
unique_counts,West Midlands Police,west-midlands,all,outcome_category,unique_outcomes,12,,
unique_counts,West Midlands Police,west-midlands,all,lsoa_code,unique_lsoas,1750,,
records,South Wales Police,south-wales,all,records,total,59031,100.0,
records_by_month,South Wales Police,south-wales,2025-11,records,month,10362,17.553,
records_by_month,South Wales Police,south-wales,2025-12,records,month,9312,15.775,
records_by_month,South Wales Police,south-wales,2026-01,records,month,9506,16.103,
records_by_month,South Wales Police,south-wales,2026-02,records,month,9002,15.25,
records_by_month,South Wales Police,south-wales,2026-03,records,month,10347,17.528,
records_by_month,South Wales Police,south-wales,2026-04,records,month,10502,17.791,
missing_values,South Wales Police,south-wales,all,crime_id,missing,6414,10.865,
missing_values,South Wales Police,south-wales,all,crime_type,missing,0,0.0,
missing_values,South Wales Police,south-wales,all,outcome_category,missing,6414,10.865,
missing_values,South Wales Police,south-wales,all,lsoa_code,missing,1365,2.312,
missing_values,South Wales Police,south-wales,all,lsoa_name,missing,1365,2.312,
missing_values,South Wales Police,south-wales,all,month,missing,0,0.0,
unique_counts,South Wales Police,south-wales,all,crime_type,unique_crime_types,14,,
unique_counts,South Wales Police,south-wales,all,outcome_category,unique_outcomes,11,,
unique_counts,South Wales Police,south-wales,all,lsoa_code,unique_lsoas,927,,
crime_label_comparison,Metropolitan Police Service,metropolitan,all,crime_type,label_set,14,,identical across forces
crime_label_comparison,West Midlands Police,west-midlands,all,crime_type,label_set,14,,identical across forces
crime_label_comparison,South Wales Police,south-wales,all,crime_type,label_set,14,,identical across forces
outcome_label_comparison,Metropolitan Police Service,metropolitan,all,outcome_category,label_set,13,,"missing_vs_union=[]; extra_vs_intersection=['Further action is not in the public interest', 'Offender given penalty notice']"
outcome_label_comparison,West Midlands Police,west-midlands,all,outcome_category,label_set,12,,missing_vs_union=['Offender given penalty notice']; extra_vs_intersection=['Further action is not in the public interest']
outcome_label_comparison,South Wales Police,south-wales,all,outcome_category,label_set,11,,"missing_vs_union=['Further action is not in the public interest', 'Offender given penalty notice']; extra_vs_intersection=[]"
