force,force_slug,layer,records,records_with_lsoa,records_with_outcome,areas,crime_types,outcomes,nodes,edges,density,total_edge_weight,average_weighted_degree
Metropolitan Police Service,metropolitan,area_crime,540963,540963,435337,7115,14,13,7129,56195,0.5641501857243248,540963.0,151.7640622808248
Metropolitan Police Service,metropolitan,crime_outcome,540963,540963,435337,7115,14,13,26,148,0.8757396449704142,435337.0,33487.46153846154
Metropolitan Police Service,metropolitan,combined,540963,540963,435337,7115,14,13,7142,56343,0.002209485135415522,976300.0,273.39680761691403
West Midlands Police,west-midlands,area_crime,152098,152098,147116,1750,14,12,1764,17281,0.7053469387755102,152098.0,172.4467120181406
West Midlands Police,west-midlands,crime_outcome,152098,152098,147116,1750,14,12,25,117,0.75,147116.0,11769.28
West Midlands Police,west-midlands,combined,152098,152098,147116,1750,14,12,1776,17398,0.011037939347798502,299214.0,336.9527027027027
South Wales Police,south-wales,area_crime,59031,57666,52617,927,14,11,941,7573,0.5835259670211127,57666.0,122.56323060573858
South Wales Police,south-wales,crime_outcome,59031,57666,52617,927,14,11,24,112,0.7832167832167832,52617.0,4384.75
South Wales Police,south-wales,combined,59031,57666,52617,927,14,11,952,7685,0.016976822274651186,110283.0,231.68697478991598
